sample,found,gene_id,tpm_unstranded,fpkm_unstranded,fpkm_uq_unstranded,unstranded_count,stranded_first,stranded_second
3c00f619-f9c3-4747-88bc-359e9ddec812,True,ENSG00000133019.12,1.8143,0.5511,0.5591,464,230,234
2660e6c6-b4c6-4d29-b048-4ce588b9e1e2,True,ENSG00000133019.12,5.2145,1.4817,1.6014,1265,657,609
afc66963-6f8d-4d99-a008-d44065e1cacf,True,ENSG00000133019.12,0.6514,0.1788,0.1697,140,71,70
51c0568a-3e54-42a0-b805-0a90905cc865,True,ENSG00000133019.12,5.1547,1.3495,1.2974,1229,584,648
51054c11-8e2f-4f52-bdaf-ebb515508a28,True,ENSG00000133019.12,0.189,0.0534,0.0518,56,28,29
24678a85-dba7-4e0f-8ba8-feeb0652681c,True,ENSG00000133019.12,1.718,0.8797,0.9879,87,51,36
bf98764d-1604-4a14-8e06-1c785a085db9,True,ENSG00000133019.12,0.1057,0.0384,0.0401,35,21,14
e9e8d1d1-1c59-4cd5-9059-740733d094e1,True,ENSG00000133019.12,0.7016,0.9435,0.9686,386,0,387
d4852a8f-4e8a-4751-adb1-6073241faff6,True,ENSG00000133019.12,1.6528,1.6466,1.5882,808,0,811
69531d59-6508-4074-a63a-27b047121681,True,ENSG00000133019.12,0.1657,0.0475,0.047,34,14,20
858726eb-4770-4a63-ab51-39aa93b449f6,True,ENSG00000133019.12,0.6804,0.2019,0.1879,65,28,37
9ce2bb36-5b1e-4a58-bc5e-dc072b217ba4,True,ENSG00000133019.12,3.7033,1.1706,1.141,309,136,173
4a5c811e-d5d9-48d7-9bcc-4c9dc72df8f4,True,ENSG00000133019.12,2.4426,0.785,0.7577,443,233,214
5daf6c21-bca3-4440-95d1-b4dc239f7911,True,ENSG00000133019.12,2.0694,0.7417,0.7573,537,261,279
269a7c8d-f4d6-4f1a-a85b-874934f214b9,True,ENSG00000133019.12,0.0508,0.0167,0.0208,7,1,6
5d90192a-0271-4169-ba9d-e52cf081a5c3,True,ENSG00000133019.12,1.5632,0.4059,0.382,311,148,163
bbbd3cd5-cfd3-418b-ab3a-243de430a5e1,True,ENSG00000133019.12,0.3345,0.099,0.0993,88,43,47
3ba4be06-32ea-47aa-9f6f-2f4befd1bd6b,True,ENSG00000133019.12,2.5538,0.7418,0.7171,546,272,274
f8670621-43a9-491c-81b7-8999ca9975a7,True,ENSG00000133019.12,0.2895,0.0915,0.0899,96,46,51
fe20855f-d3ce-4e02-b2dd-3df15eab44bf,True,ENSG00000133019.12,0.3318,0.1051,0.117,73,33,40
efb97bb0-e227-4826-aaa7-ef0503f2cf5f,True,ENSG00000133019.12,1.113,0.3663,0.4016,434,224,210
2f3ed4ce-16b8-447d-9b18-d1e95d21de76,True,ENSG00000133019.12,4.9214,1.4126,1.4218,773,369,405
74f3f3cb-d6f1-4e4f-8c76-7ebeefa0dbcf,True,ENSG00000133019.12,7.2171,2.2197,2.3749,1669,845,827
9d85ecd9-deef-474f-8dca-7fbbee531e7f,True,ENSG00000133019.12,0.1633,0.0528,0.0601,47,23,24
334cc9fa-3e9b-4462-b84d-dc595e89d537,True,ENSG00000133019.12,2.6413,0.8668,0.807,586,286,301
22cae278-eb88-4685-9ff7-667e53b50a34,True,ENSG00000133019.12,0.2863,0.0891,0.0927,95,58,51
c0694ad0-b4f2-43c4-aef4-aa60c2f5baea,True,ENSG00000133019.12,1.2164,0.3985,0.4031,362,185,179
7c651197-9519-4ef2-85c9-16f05edb6a86,True,ENSG00000133019.12,1.1681,0.5586,0.4876,336,1,342
1098101e-1770-4055-ae41-d6c15e1c7b90,True,ENSG00000133019.12,2.2757,0.6091,0.5811,391,199,192
6c3a9d0b-5d61-41d0-b54c-432f33122a25,True,ENSG00000133019.12,1.2057,0.3662,0.3442,287,5,286
2dea7278-7221-43e6-bf22-713777beb618,True,ENSG00000133019.12,4.2355,1.558,1.8145,1230,591,639
475fdbbb-3d3a-4d56-8d0e-34dfb8cb6346,True,ENSG00000133019.12,0.0426,0.0208,0.022,17,13,4
a14f02d4-6d07-409d-af7a-5d5f23640ad6,True,ENSG00000133019.12,0.0978,0.0354,0.0398,33,29,11
6f920efc-b660-43cc-b969-8d445c252004,True,ENSG00000133019.12,2.1199,0.6917,0.7482,453,270,229
bac4b715-8e3a-4a2b-888e-7eb382f47a5c,True,ENSG00000133019.12,1.4335,0.3807,0.3773,275,3,274
cf56d43d-5384-4eb9-b4e0-d6c4bef5eb0a,True,ENSG00000133019.12,0.184,0.0513,0.0493,49,26,25
f4633f46-6081-4ab3-a53c-9497df3c4616,True,ENSG00000133019.12,0.2174,0.0882,0.1311,51,28,26
1f117018-33ca-4b04-89cc-e5594656a4ba,True,ENSG00000133019.12,4.7799,1.6668,1.8184,1690,815,882
1f911a28-0d7a-4f57-b358-cc6277b2008b,True,ENSG00000133019.12,3.3804,1.0798,1.1122,1136,601,541
647ec81e-775b-42ad-bd83-286dfc4f91dd,True,ENSG00000133019.12,1.0482,0.3811,0.3957,195,88,107
4b98f37e-33fc-4bf0-b6cd-4c900bcc9d2a,True,ENSG00000133019.12,0.2781,0.0817,0.0837,100,40,61
38259364-ebcb-4f5f-8471-8ffe7e3267a7,True,ENSG00000133019.12,0.0536,0.021,0.0202,8,4,4
094bd0ca-5f46-4ff7-b674-04c5b9001951,True,ENSG00000133019.12,7.1607,2.0459,1.9803,960,521,441
2877f6c0-649f-44d2-89a1-4a6ef2c8ec19,True,ENSG00000133019.12,0.0932,0.0329,0.035,28,10,18
f881311a-b8fb-4a72-ac39-5fe6becbbf7b,True,ENSG00000133019.12,1.2819,0.3992,0.4141,288,150,138
dd578d7c-9577-4bda-a1b1-1fd063206537,True,ENSG00000133019.12,3.0049,1.0918,1.1697,607,287,322
f88df5aa-1c0c-4318-83a0-4b2230a4814b,True,ENSG00000133019.12,10.9942,4.6452,4.3412,3650,3,3670
bc89c589-8a4f-4df9-963b-9d7a2cdedbdd,True,ENSG00000133019.12,0.1733,0.069,0.0765,63,31,32
dde6631e-ef66-4db4-a7cb-be94f4b9c4fd,True,ENSG00000133019.12,5.0635,1.6993,1.6765,774,391,385
1876b908-e911-464f-be23-2b4eae0a43b6,True,ENSG00000133019.12,0.712,0.2541,0.2555,156,71,86
6bf81928-1d79-4e7f-90e2-2ce92d23a889,True,ENSG00000133019.12,1.7479,0.5416,0.6098,489,247,243
01947597-c83a-4c5d-8a45-f1fe27992ad5,True,ENSG00000133019.12,5.141,1.573,1.4455,894,451,445
36c7d3a4-193f-49fd-b367-e7aacc4eebe2,True,ENSG00000133019.12,0.1116,0.0596,0.0558,32,3,31
d0d8533b-7284-49cb-96ff-f0145017084d,True,ENSG00000133019.12,0.0667,0.0317,0.0382,19,10,9
05e5accb-e761-4534-a81e-bf0354f7810c,True,ENSG00000133019.12,0.4725,0.1396,0.1549,110,68,45
69add746-94ce-4b57-bf7a-f80bf10bdc01,True,ENSG00000133019.12,1.8674,0.6298,0.6059,269,127,142
720ff723-a1db-483d-9b73-01e15068351f,True,ENSG00000133019.12,9.5073,2.9515,2.935,1737,883,856
748f006b-11dc-4a2f-b857-705e19b511a0,True,ENSG00000133019.12,0.182,0.0692,0.0793,48,22,26
c073adc8-e8a4-4c94-9737-4286c37c2e3e,True,ENSG00000133019.12,0.3841,0.1,0.0929,77,33,44
ec8b5d60-3513-4a7b-9f91-440ec0516150,True,ENSG00000133019.12,3.6712,1.3073,1.2029,1243,3,1242
39f91c2c-9527-4185-aa04-eb42e7fab7c1,True,ENSG00000133019.12,0.2656,0.0721,0.0842,46,24,22
30b0aa88-4e4f-4c03-8d48-6346abb93415,True,ENSG00000133019.12,0.891,0.2636,0.2585,200,108,96
80f240dd-0e19-47f3-a454-60bf0f1e0d71,True,ENSG00000133019.12,4.6772,1.5619,1.5483,443,222,221
58b3d72d-6cff-4c5c-9317-13d88cd17b79,True,ENSG00000133019.12,0.2671,0.1018,0.1168,74,50,24
6b7ab5c5-620a-4cc3-a6dc-69e4aa8ac3f0,True,ENSG00000133019.12,0.0974,0.0578,0.0599,40,0,40
e2740bdf-ff53-485c-8c3d-7b0fc34688c2,True,ENSG00000133019.12,0.0484,0.0174,0.0196,10,7,5
18be89fe-3383-45a2-9c0e-b1246e88c82d,True,ENSG00000133019.12,2.9925,1.0826,1.1519,1158,579,583
c5edc8d9-bae8-4841-802c-919dc0d4c055,True,ENSG00000133019.12,7.6145,2.3509,2.3384,1511,748,771
f93cd112-520d-408d-a15d-3451f2bacdfd,True,ENSG00000133019.12,5.0954,1.9774,1.834,314,147,169
08239799-b042-41c2-90cd-6a0dad35e54d,True,ENSG00000133019.12,3.254,0.9923,0.9265,592,291,302
3f4c314a-57a9-483e-826c-e963a466ae57,True,ENSG00000133019.12,2.3235,0.8217,0.7504,80,35,45
6ec0647a-6f73-4c22-bed9-b65c2c4678da,True,ENSG00000133019.12,2.2214,0.9189,0.8828,300,151,150
8b26e78c-f162-48fc-8c1b-9628baa3ca62,True,ENSG00000133019.12,0.8642,0.309,0.3195,187,91,97
ea475654-2b19-4630-96d2-c19dc4b41ff4,True,ENSG00000133019.12,0.0624,0.0233,0.0239,15,6,9
d7340acb-9a98-4153-9766-a6748933441d,True,ENSG00000133019.12,1.4964,0.5625,0.5836,449,227,223
8587b809-2355-461b-9d55-4c7952c128a2,True,ENSG00000133019.12,0.0055,0.0021,0.0029,2,0,2
23d33ac1-a9db-463b-9f86-06603e02f357,True,ENSG00000133019.12,0.0152,0.0059,0.0068,2,1,1
38a55896-f00e-418d-bc18-4ca30da378ef,True,ENSG00000133019.12,1.7756,0.6565,0.6248,574,6,570
4af1f2b3-5b91-4fea-9268-70435ee322f2,True,ENSG00000133019.12,1.7069,0.571,0.6477,374,183,195
9af3d59a-70f4-4bab-b3dc-eb76648272d7,True,ENSG00000133019.12,0.7952,0.2737,0.2837,168,81,90
951959ef-f8c3-4d93-b480-1dfac47aa64c,True,ENSG00000133019.12,0.2934,0.1004,0.1006,69,32,37
e23bcf27-4748-42c9-8088-ddf12055b43a,True,ENSG00000133019.12,7.9332,2.2858,2.2475,2292,1157,1141
cf2e2654-325d-433b-9a56-731a32e16dba,True,ENSG00000133019.12,1.2393,0.5698,0.5812,487,2,489
34111a2c-5b27-427e-890e-349b9974343c,True,ENSG00000133019.12,1.4743,0.4237,0.401,311,166,146
b90c65f0-a8e2-4e44-96a6-fcaa6d71ebed,True,ENSG00000133019.12,0.0792,0.0313,0.0348,26,8,19
54991bf3-8da2-4bbd-a101-b9a7a038a05a,True,ENSG00000133019.12,0.0589,0.0198,0.0211,17,10,10
60913ab3-15e5-4978-8ca8-e1a74f82f9e4,True,ENSG00000133019.12,2.5593,1.2607,1.1798,1117,0,1128
232c3577-fe73-4c74-99c8-51c82a6aca1c,True,ENSG00000133019.12,0.8085,0.2209,0.2058,145,71,75
17c85380-56c8-42d6-8beb-ea4379155172,True,ENSG00000133019.12,0.0192,0.0068,0.0072,5,5,1
48961cf0-8369-4e19-be15-9fabc29008f8,True,ENSG00000133019.12,4.1872,1.4998,1.6412,1323,661,666
249b6388-cdcd-477a-9461-cf0e41146230,True,ENSG00000133019.12,3.2578,0.9774,0.9001,453,218,237
231aa983-3ef3-476b-bdb3-bab9d66f71e6,True,ENSG00000133019.12,1.193,0.3363,0.3076,228,114,115
f2f0faf2-f758-48fc-ab5c-22742780b5ba,True,ENSG00000133019.12,0.0066,0.0021,0.0021,2,1,1
e7eed773-b87c-4138-8d0e-72c85d85509b,True,ENSG00000133019.12,2.0824,0.6547,0.7294,358,176,182
36e8195f-72b1-4d87-9be5-a487689aba5e,True,ENSG00000133019.12,0.7092,0.2074,0.2242,111,52,60
85c794c1-3fd0-4a10-a613-9db7eff3c78f,True,ENSG00000133019.12,0.3695,0.1999,0.2563,97,37,61
77b98b70-9bef-4e81-9eac-91467c322d4b,True,ENSG00000133019.12,0.7954,0.2865,0.3401,54,24,31
25857230-7253-4929-a790-90815194b213,True,ENSG00000133019.12,0.0481,0.017,0.0203,17,6,12
3973bbdc-bc07-4deb-955b-3c40e88a68be,True,ENSG00000133019.12,0.1345,0.044,0.0491,26,17,9
574174d5-f635-414b-ae70-afdd6ec6ddcf,True,ENSG00000133019.12,7.579,1.9785,1.8174,1543,785,760
498e5e18-7443-4799-af81-6d829f819da6,True,ENSG00000133019.12,2.9127,0.8689,0.9121,641,310,332
87d1edd3-df03-4046-a888-86baa85639b6,True,ENSG00000133019.12,0.1992,0.0546,0.0566,58,25,33
c7ee3fa6-4a2f-4824-a098-91ce6c1223c3,True,ENSG00000133019.12,0.4664,0.1483,0.1511,90,40,52
2e4d5e4c-9112-42db-af91-ef424862b568,True,ENSG00000133019.12,0.482,0.217,0.2599,144,85,60
0237d4e6-241d-4fb5-a59b-078bd4bd4b2d,True,ENSG00000133019.12,1.91,1.0736,0.9858,728,0,732
3e6105ba-3a23-4ac6-bf0d-1193fb2e679e,True,ENSG00000133019.12,0.5047,0.1855,0.1675,66,6,65
a7260181-c266-427f-abba-4aa318f1710c,True,ENSG00000133019.12,3.8615,1.0539,1.0563,810,398,413
27ee0eba-2f11-447b-a153-c8dc679d5fc6,True,ENSG00000133019.12,1.5153,0.9786,0.9375,769,0,773
9c1d847d-dab7-4226-b140-95a244a22310,True,ENSG00000133019.12,12.7025,5.8683,5.4114,3392,1,3432
06ea34ab-c935-429d-a2e8-f264a103138c,True,ENSG00000133019.12,0.3435,0.2273,0.4115,204,104,100
db07bd22-cf7a-4504-9491-1bdeb1e14339,True,ENSG00000133019.12,2.1501,0.6036,0.5922,316,149,171
ed428ab3-822a-4dbb-9dae-be7e71949b48,True,ENSG00000133019.12,5.2261,1.747,1.7051,1216,570,649
00ae9ab8-6eaa-4085-af72-26f96df97fa3,True,ENSG00000133019.12,0.2505,0.0741,0.0658,61,0,61
30fd31d5-d8c2-4038-8cbe-e1c986621fd6,True,ENSG00000133019.12,6.537,2.1129,2.2466,960,471,491
f7ee2427-a1bf-4f0f-b4b1-274b693ed41e,True,ENSG00000133019.12,0.6214,0.3758,0.3275,189,3,187
dcff773b-20f4-4c90-9a3f-78ef2e0f484e,True,ENSG00000133019.12,0.1319,0.0611,0.0691,43,19,25
b5b955dc-8bcc-4465-aee2-f302783d9ac8,True,ENSG00000133019.12,0.2219,0.1341,0.1334,85,1,87
3449e073-b0f2-4498-b9db-18e8593ef580,True,ENSG00000133019.12,2.9504,0.8404,0.8637,394,205,190
9ffe0bdc-838e-4715-8fd3-31f032c8f46e,True,ENSG00000133019.12,0.3472,0.1043,0.0994,77,38,39
906a6a3f-91ce-4433-9a0d-e010a61782f0,True,ENSG00000133019.12,1.0958,0.2806,0.2872,281,142,140
61e83633-f517-4616-aae0-71b17b1ea32e,True,ENSG00000133019.12,1.6447,0.5258,0.5465,417,207,212
4297f902-2495-48fb-af36-31e61f727215,True,ENSG00000133019.12,4.5055,1.2142,1.1143,681,357,324
e97eb7bf-fc1e-46d0-a4d8-038a2f726cbd,True,ENSG00000133019.12,7.5692,3.9136,3.5079,2288,1,2321
20a68a0c-d0c3-4bf1-a1e1-0f0f2f1906b7,True,ENSG00000133019.12,0.0293,0.01,0.011,9,3,6
5ddf8f4a-edd8-4b97-8d4d-76655d9018c5,True,ENSG00000133019.12,7.4725,2.0704,2.0507,839,442,398
168d5c05-89b0-4c26-95a1-dd2d34d16882,True,ENSG00000133019.12,4.2139,2.1812,2.0193,1299,0,1306
87a262f1-f67f-4c26-ad37-9f8b7b72fc97,True,ENSG00000133019.12,3.471,1.0721,1.0347,694,344,355
bb24863f-4b09-46ac-aacc-4073cad3a7d8,True,ENSG00000133019.12,0.378,0.1283,0.1517,30,13,17
3aa81439-d4cc-41ef-9568-e6a11c8b1b52,True,ENSG00000133019.12,0.6862,0.1968,0.2025,89,47,42
c352def2-b28b-45f1-be0e-0fab2671fda2,True,ENSG00000133019.12,2.5658,0.8216,0.8338,299,161,139
5f2d965a-25df-4736-a675-efeb59341a04,True,ENSG00000133019.12,0.0488,0.0242,0.0238,10,0,10
bc068ded-2a95-4bd9-a9c9-7016d7e748a8,True,ENSG00000133019.12,3.6097,1.1791,1.0683,777,1,790
b91f5802-022a-4414-8c40-466787b36793,True,ENSG00000133019.12,0.0603,0.0179,0.0174,6,1,6
91c2d903-e9f9-48de-b116-7b98c6940134,True,ENSG00000133019.12,0.0995,0.0341,0.0355,33,15,19
3e599f68-2ba6-4fef-99aa-4b0bdf31e9bb,True,ENSG00000133019.12,0.8506,0.2933,0.3065,152,69,83
aca8bace-37c5-4ec0-958c-13907ae97d1f,True,ENSG00000133019.12,1.2286,0.3471,0.3418,299,153,147
bd52f6c8-6f8b-4056-8a3e-8cdc96644952,True,ENSG00000133019.12,2.1236,0.685,0.8772,386,195,195
eea85d25-8866-479a-9fc5-6d8fd529e847,True,ENSG00000133019.12,0.0308,0.0153,0.015,14,0,14
09f9f414-db5b-4b54-9e8e-234bf9d7c678,True,ENSG00000133019.12,0.2062,0.0691,0.0699,33,17,18
3eb51a70-fec9-4f37-9f16-ac74229f68e9,True,ENSG00000133019.12,2.6632,0.7588,0.7427,494,252,244
cd6e4f25-3b32-4fd3-9454-f06b0cf25d32,True,ENSG00000133019.12,3.2903,1.4457,1.443,1094,1,1098
a99d57f4-b2d3-4373-883f-1b409e73fd46,True,ENSG00000133019.12,1.1307,0.3456,0.3424,237,122,118
22f5836e-3ed4-45e7-94a2-dfafd689ac05,True,ENSG00000133019.12,2.3818,1.6226,1.5922,1195,3,1198
60832867-d7b9-4749-a536-847f46299e07,True,ENSG00000133019.12,1.0685,0.3628,0.4094,217,113,107
fb49f5f7-5576-4670-8918-47d0997a6f30,True,ENSG00000133019.12,0.2815,0.1145,0.1341,89,45,45
9940e2a8-6a68-4482-a1bc-2a6edb7d52cd,True,ENSG00000133019.12,0.2176,0.0648,0.0623,30,15,15
2ada884e-1839-4bb0-ba03-7f04085f0a07,True,ENSG00000133019.12,2.1301,0.5487,0.5188,405,201,206
ba18b2a0-482c-4d51-8c88-3966d1b6b659,True,ENSG00000133019.12,2.0041,0.8301,1.0324,499,248,251
f241eee0-28ea-4700-ba91-d3d50c2f7e48,True,ENSG00000133019.12,0.1691,0.0498,0.0575,30,15,15
72183176-d844-452e-8736-303686bac768,True,ENSG00000133019.12,0.7612,0.2598,0.3243,128,62,66
efc448d3-a3c6-4df9-a626-907ce3d5bcfc,True,ENSG00000133019.12,0.0452,0.0156,0.0162,12,8,5
41e96482-bc24-4a1a-8ef2-8ef4d525ad40,True,ENSG00000133019.12,1.6008,0.4117,0.4071,208,106,102
9835daf0-92cc-4237-838d-b122a15aa1f1,True,ENSG00000133019.12,0.8596,0.423,0.4659,143,84,64
66e79734-9053-4f61-9a32-bee376f5dab0,True,ENSG00000133019.12,0.257,0.1076,0.1019,31,18,14
532690cb-760c-480d-902c-2aaf768d28c5,True,ENSG00000133019.12,1.0884,0.3225,0.3485,178,74,107
e0d8cd2d-967f-4b04-afa9-3aca54bcaf5d,True,ENSG00000133019.12,0.0437,0.0164,0.0165,10,6,4
37657888-bb13-429b-800c-deb8a6bdf27c,True,ENSG00000133019.12,4.7798,2.6783,2.5515,1799,0,1810
ab6d59e0-21c2-4273-b094-3596d1b8b825,True,ENSG00000133019.12,4.8248,1.4711,1.4142,962,494,471
a906629e-77fa-4444-b275-b7ae6074ecec,True,ENSG00000133019.12,5.5637,1.6383,1.6955,872,428,445
8b7acbfc-5614-45dc-99b6-bbcb34dfc32f,True,ENSG00000133019.12,6.0026,1.7069,1.6767,1219,602,619
929473bf-434c-438e-b16c-c34bfb0b98ea,True,ENSG00000133019.12,0.1166,0.0453,0.0516,21,14,7
b7196540-a319-41a0-befd-c363e511ac1d,True,ENSG00000133019.12,0.2643,0.3049,0.2944,154,1,153
2063302d-2b9d-4550-8426-fb64f5ea89d1,True,ENSG00000133019.12,3.4948,1.1949,1.2333,992,528,469
beb3712d-76e3-4c3a-becb-c94048ea8a7f,True,ENSG00000133019.12,0.4594,0.1375,0.1333,81,40,41
b3bec9bc-73c9-41c9-beb2-68a5f06ee2ef,True,ENSG00000133019.12,0.2331,0.071,0.071,19,8,11
00426c02-8fec-4862-92e6-876a81533b9e,True,ENSG00000133019.12,1.1912,0.3201,0.3133,144,66,78
cf92132f-edaf-47dc-9469-69f3cef16737,True,ENSG00000133019.12,2.2387,1.1573,1.0688,794,2,793
b4849657-e1bc-4992-9ace-f69c32b014ee,True,ENSG00000133019.12,0.1517,0.0449,0.0487,46,20,26
d2aee6c3-29d3-44ef-96a5-b0a2d23dcec5,True,ENSG00000133019.12,0.1574,0.0489,0.0475,49,25,24
0d82cb5e-2e4e-4879-9b7e-b929fb590c0a,True,ENSG00000133019.12,1.0281,0.4424,0.3974,306,3,305
69933ac8-e7a7-43b6-8231-2ecb35f88d52,True,ENSG00000133019.12,4.6979,1.2389,1.19,592,328,265
44964e02-9283-4a48-a9e4-006a75d4120e,True,ENSG00000133019.12,0.0686,0.026,0.0271,13,6,7
5c5b5e90-ee6b-42ba-9918-246db0be7756,True,ENSG00000133019.12,0.8341,0.2378,0.2273,163,78,87
7f70c9bb-a18a-45e8-8177-34145a6c0dc9,True,ENSG00000133019.12,3.0253,0.8563,0.9181,699,336,365
5d248c5c-e008-4510-bdef-2417b97c864c,True,ENSG00000133019.12,1.2195,0.5216,0.6964,341,156,187
74c60b29-cbf2-4398-aae0-372561a98682,True,ENSG00000133019.12,0.1567,0.0559,0.0607,37,21,17
e4bb1f41-bf42-43f3-aba5-98f3a02a7e03,True,ENSG00000133019.12,0.3134,0.1277,0.1411,100,58,43
736227d9-3cee-40ed-bdec-0e88968ef179,True,ENSG00000133019.12,0.2044,0.0629,0.0693,29,11,18
6508912f-5f91-43e6-8e63-9233bf3e81eb,True,ENSG00000133019.12,0.019,0.0066,0.0064,5,2,3
7321ea01-8e94-4dfe-b4b6-ab48a3a880f4,True,ENSG00000133019.12,2.6237,1.0326,1.0433,369,181,188
3b8b7b48-4dd6-48c0-b36f-a554b5a2e0a9,True,ENSG00000133019.12,9.7397,2.9006,2.8049,1959,984,982
0dd57486-1eb3-4711-b4ec-8e9de0c4c5a2,True,ENSG00000133019.12,13.6132,4.7291,6.5188,3657,1813,1853
b0595fa6-6c48-4add-b4b7-69c6425bf780,True,ENSG00000133019.12,3.3552,1.0344,0.9372,616,297,320
593e91b8-cbcd-4dbf-95ed-9dce881a430b,True,ENSG00000133019.12,0.8053,0.2585,0.2585,110,61,53
5ad58131-d9d3-4ea3-9d04-18cf480e1480,True,ENSG00000133019.12,8.827,2.7974,2.7163,1694,861,840
aaa72a07-5214-4145-9fb5-99c22b7c248a,True,ENSG00000133019.12,0.1653,0.0473,0.0456,25,13,14
d05a80fc-d08a-47df-b7cd-0172b9977d46,True,ENSG00000133019.12,0.5285,0.196,0.2028,184,94,92
9af0ac1c-2106-413b-bd64-c1d13db34c27,True,ENSG00000133019.12,0.4495,0.1439,0.1268,93,0,93
